,Date,TR ID,Subject_1,Subject_2,Ratio
5,2019-12-11,"('2732167674-76',)",skills,skilling of workforce,83.0
0,2023-04-25,"('3978240953-79',)",eu-us trade and technology council,"trade and technology council, transatlantic economic relations, economic security",82.0
0,2022-05-24,"('931656328552-33',)",meeting with the members of re-imagine board and the task force on sustainable agriculture and innovation in the margins of re-imagine annual meeting,gala dinner: sustainable agriculture and innovation,82.0
0,2024-01-30,"('680443918500-51',)","the european competitiveness of green fuel projects and to introduce c2x, maersk's green methanol arm",discuss the competitiveness of green fuel projects,82.0
0,2019-12-04,"('95713206856-14',)",ec initiatives in tackling antisemitism,fighting antisemitism,81.0
2,2021-10-13,"('48544465107-88',)",fitfor55 and covid-19 experiences,fit for 55,80.0
0,2023-03-21,"('0649790813-47',)",green transition in automotive,"euro 7, route35, green transition of the automotive sector",80.0
0,2021-05-12,"('3978240953-79',)","progress of the overall preparations for the fit-for-55 package,
renewable energy directive,
the reform of the ets.",fit for 55,80.0
1,2022-11-10,"('7459401905-60',)",chips,microchip investments in europe,80.0
0,2022-03-17,"('818300434979-49',)",fit-for-55,fit for 55 package and just transition fund,80.0
0,2022-09-21,"('909187919366-18',)",introductory meeting - feedback on elcano's activities in brussels and ways to improve them,introductory meeting on elcano's activities in brussels,80.0
0,2020-02-21,"('082698126468-52',)",digital policy,"smes in digital sector, it companies developing digital solutions for other sectors.  role of digital smes in transfer of digital skills to other smes. the european skill for smes partnership",79.0
4,2020-03-04,"('25492952296-56',)","circular economy strategy and action plan, plastic packaging, to present aspirations of unesda.",circular economy action plan,79.0
0,2023-03-08,"('1771817758-48',)",industry competitiveness,"-	long-term competitiveness of the eu 
-	eu's trade agenda as essential element for competitiveness",79.0
0,2022-10-27,"('22400601191-42',)",ai act and data act.,data act and ai act,79.0
0,2022-07-11,"('581250215524-23',)",global transition to sustainable food systems,vtc meeting - sustainable food systems,79.0
6,2020-01-29,"('17909506129-41',)","energy transition and green deal, investment plan, renewable energy, investment plan, renewable energy","the role of gas in the energy transition and the energy transition and green deal, investment plan, renewable energy.",79.0
5,2020-01-29,"('17909506129-41',)","energy transition and green deal, investment plan, renewable energy, investment plan, renewable energy","role of gas in the energy transition and the energy transition and green deal, investment plan, renewable energy",79.0
0,2024-02-21,"('07872017103-70',)","research, innovation, transport","inovation, research, transport",78.0
1,2020-01-23,"('68612977691-59',)",european disability policies,once's priorities for eu disability policy.,78.0
2,2020-01-23,"('68612977691-59',)",european disability policies,once's priorities for eu disability policy.,78.0
0,2021-06-24,"('475565317526-24',)",code of practice on disinformation,webinar on disinformation,78.0
0,2020-05-14,"('85686156700-13',)","ewl's call to action ""women and girls must not pay the price of coronavirus"", gender sensitive responses","exchange of views on ewl's call to action ""women and girls must not pay the price of coronavirus""",78.0
0,2020-04-22,"('718971811339-46',)",impact of covid-19 on equality,impact of covid19 crisis on equality,77.0
0,2023-03-29,"('76704342721-41',)",digital transition in the middle east and north africa,digital transition in africa and the middle east,77.0
0,2020-12-18,"('37943526882-24',)",bank regulation and climate change,bank prudential regulation and climate risk,76.0
9,2021-12-03,"('547949121038-83',)",the public health benefits and competition issues arising out of the merger between illumina and grail,presentation of the merger case illumina and grail,76.0
0,2021-10-27,"('389356530261-76',)",opportunities for small tech companies in the single market,digital single market,76.0
0,2024-10-15,"('849413211923-25',)","eu - mercosur trade agreement, eu trade policy",agri,75.0
0,2024-10-03,"('74574295642-60',)",presentation of volvo's concerns regarding the eu's investigation against chinese electric cars.,electric vehicles.,75.0
0,2020-11-10,"('89632641000-47',)",vtc: epc paper on the new pact on migration and asylum,discussions on the new pact on migration,75.0
0,2020-09-16,"('95363765837-60',)","european green deal and the eu chemicals policy, including chemicals strategy for sustainability",vc meeting on chemicals strategy,75.0
0,2021-11-10,"('38870176589-43',)",trade relations eu-turkey,eu - turkey economic and trade relations,75.0
1,2020-09-02,"('135084038966-26',)",the global initiative to end wildlife crime. it was a videoconference organized by cab timmermans.,vc meeting on the global initiative to end wildlife crime,75.0
0,2020-09-15,"('06698681039-26', '9505781573-45', '06798511314-27')","european green deal and the eu chemicals policy, including chemicals strategy for sustainability",vc meeting on chemicals strategy,75.0
0,2022-09-28,"('461173445540-64',)",sanctions and taxonomy,eu sanctions,75.0
0,2023-01-19,"('53891615036-88',)","exchange of views on the eu and global economic outlook, conditions for investment in green technologies",ngeu,75.0
4,2020-01-23,"('588327811384-96',)",digital taxation,fintech developments and digital transition,75.0
0,2020-01-29,"('17909506129-41',)","energy transition and energy transition and green deal, investment plan, renewable energy","energy transition and green deal, investment plan, renewable energy, investment plan, renewable energy",75.0
2,2020-09-30,"('976985829492-08',)",to discuss digital services act.,"digital policy agenda, including digital services act, self-regulation, corporate social responsibility",75.0
0,2021-09-22,"('130583737816-56',)",discussion on the next steps of the common agricultural policy,vtc meeting - common agricultural policy,75.0
1,2020-02-18,"('10257354120-19',)",sustainable finance,discussion on sustainable transport fuels,74.0
2,2021-06-17,"('3394026642-58',)",meeting to discuss the latest developments on clean fuels.,meeting to discuss developments in clean fuels.,74.0
1,2021-06-17,"('3394026642-58',)",meeting to discuss the latest developments on clean fuels.,meeting to discuss developments in clean fuels.,74.0
0,2020-02-18,"('10257354120-19',)",sustainable finance,discussion on discussion on sustainable transport fuels,74.0
0,2024-03-01,"('928308827208-10',)",humanitarian crises in gaza and sudan,the discussion was on humanitarian situation of gaza and sudan,73.0
0,2020-05-26,"('91711831031-23',)",telesat leo constellation project,exhange of views with thales on leo constellation and possible industrial cooperation with telesat.,73.0
0,2022-01-31,"('60340504060-88',)",meeting of fit for 55.,"transport sustainability commitments of iag in the framework of ""fit for 55 package""",73.0
0,2021-09-30,"('797266343474-04',)","cgem and business europe joint statement on a ""modernisation pact on trade and investment between the kingdom of morocco and the european union""",eu-morocco cooperation on trade and investment,72.0
1,2024-04-18,"('974875639237-65',)","technology portfolio for the transformation of industries, including the green hydrogen.",discussion on technologies for the transformation of industry,72.0
0,2021-11-12,"('070028236358-54',)","semiconductor production capacity and resilience of supply chains
ttc:  eu - us cooperation","-	semiconductor shortages, increasing the production capacity and resilience of supply chains
-	european semiconductor ecosystem
-	the ttc: eu - us cooperation on export controls",72.0
0,2022-01-26,"('2732167674-76',)",european space conference,"meeting on the margins of the space conference to exchange views on galileo, egnos and secure connectivity.",72.0
1,2021-06-16,"('442822332191-58',)",vice-president schinas holds a meeting with the representatives of the youth sports game,activities and events of youth sports games,72.0
2,2024-01-30,"('680443918500-51',)",discuss the competitiveness of green fuel projects,discussion on the potential of green fuel production in the mediterranean region,72.0
0,2020-03-02,"('843694634977-95',)",eu/us trade matters,eu-us trade talks,71.0
0,2024-07-23,"('529340893451-25',)",digital issues,digital topics,71.0
0,2022-04-28,"('727635645261-62',)",female empowerment in the digital sector.,"to exchange with a group of selected young female leaders from the summer and winter editions of the school for female leadership in the digital age, to advance throughout their leadership path.",71.0
0,2020-11-16,"('912723313554-37',)",coronavirus response and wellcome trust role,covid-19 response,71.0
0,2020-02-07,"('3978240953-79',)","to speak about circular economy and biodiversity, and discuss cooperation in this field",circular economy action plan,71.0
1,2020-02-04,"('62536168216-12',)",digital policy,exchange on audio-visual and media policy,71.0
0,2023-10-10,"('704370938610-77',)",digital payments,electronic payments,71.0
0,2023-02-21,"('58204758673-16',)","trade policy, digital transition.",exchange views on digital transition and in particular on financial sector.,70.0
0,2024-01-09,"('148098251734-90',)",short exchange of views on green and clean energy projects,projects on res,70.0
0,2023-05-08,"('756647849942-04',)",presentation of the company's hydrogen projects and discussion on potential cooperation activities under eu-india partnership,discussion on renewable energy,70.0
0,2020-05-05,"('419508817229-68',)",exchange of views with wpl on the gender impact of covid19 and discussion on women's leadership.,exchange of views on gender impact of coronavirus and role of women's leadership.,70.0
2,2023-10-10,"('704370938610-77',)",electronic payments,presentation of the work and the challenges on payments.,70.0
0,2020-04-28,"('762247734758-18',)",clean urban mobility in the european green deal,european green deal and clean cities,69.0
0,2021-11-09,"('355702910008-47',)",eu forest agenda,green deal and relevance for the forest industries,69.0
0,2022-02-11,"('078294941111-90',)","update of covax progress, the achievements of team europe support, and exchange on what lies ahead","meeting with managing director of resource mobilisation, marie-ange saraka-yao - update on progress and achievements of team europe support",69.0
8,2021-01-26,"('36529354479-57',)",exchange on covid-19 impact on culture and creative sector,"discussion on effects of covid19 crisis to the cultural and creative sectors, eu's support for culture and creative sectors, including recovery and resilience facility",69.0
1,2023-03-02,"('39912257528-48',)","long term competitivness, ttc",european competitiveness strategy and inflation reduction act,69.0
4,2022-10-11,"('191319744634-58',)","fit for 55, cbam","how the eu can continue supporting the green deal and the climate transition in europe despite the horrific invasion of ukraine and its different effects on the european economy and european companies, fitfor55, ets, cbam and red",69.0
0,2020-10-06,"('3209361971-85', '6774178922-55')","european democracy action plan, digital services act","digital services act and european democracy action plan - responsibility of broadcasters for content they distribute, attribition and findability of content, many different types of gatekeeper.",69.0
0,2020-02-07,"('46856801604-90',)",global humanitarian action,humanitarian situation in syria and yemen,69.0
0,2020-06-04,"('27053044762-72',)",vc meeting to discuss chemicals strategy,vc meeting - chemicals strategy,68.0
0,2023-02-27,"('39966101835-69',)",energy crisis and fit for 55,"european and french energy sector, and the reform of the european and french energy sector, and the reform of the electricity market design reform reform",68.0
0,2023-01-31,"('287403519124-60',)",finish energy sector decarbonisation and electricity market design reform,to exchange views on the electricity market revision.,68.0
1,2023-02-27,"('39966101835-69',)",energy crisis and fit for 55,"european and french energy sector, and the reform of the electricity market design reform",68.0
0,2021-02-08,"('6256831207-27',)",sustainable finance,sustainability linked bonds,68.0
4,2021-01-26,"('36529354479-57',)",the impact of the crisis on the cultural sector,"discussion on effects of covid19 crisis to the cultural and creative sectors, eu's support for culture and creative sectors, including recovery and resilience facility",68.0
5,2024-07-04,"('501222919-71',)",rule of law in hungary,rule of law situation in hungary,68.0
1,2022-06-16,"('95574664768-90',)",sanctions,"green and digital transition of the automotive industry, raw materials availability",67.0
0,2022-06-16,"('95574664768-90',)",sanctions,"green transition, strategic autonomy, supply chain disruptions, ets",67.0
0,2020-02-17,"('64879142323-90',)",trade issues,introduce cefic and discuss dgcomp relevant issues,67.0
0,2020-10-27,"('48325781850-28',)",medicines for europe - exchange of views on the upcoming pharmaceutical strategy.,pharma strategy,67.0
0,2023-06-23,"('672219746759-76',)",ai,dsa,67.0
0,2023-09-26,"('672219746759-76',)",artificial intelligence act and artificial intelligence policy developments,ai act,67.0
0,2020-02-15,"('66790095679-26',)","humanitarian situation in syria, yemen, sahel and venezuela",migration,67.0
0,2023-11-17,"('735637118430-74',)",ongoing and planned work by the european scientific advisory board on climate change,climate policies,67.0
0,2020-02-20,"('59004966537-01',)",speech on the european green deal at the european shipping week,general discussion on maritime transport in margins of the european shipping week,67.0
0,2023-02-10,"('93288301615-56',)","spectrum, european media freedom act",spectrum policy,67.0
0,2023-01-17,"('25487567824-45',)",ira,neighborhood strategy,67.0
0,2022-03-10,"('475565317526-24',)",digital services act,dsa,67.0
2,2023-10-16,"('267303827175-27',)","eu - japan trade relations, wto, economic security",eu - japan collaboration,67.0
0,2022-10-05,"('932274339872-30',)",aluminum packaging,circularity of packaging and cohesion policy support for sustainable recycling.,67.0
0,2020-02-17,"('419508817229-68',)","activities and upcoming events of wpl, women in energy and the commission's activities regarding gender equality, possible areas of cooperation",gender equality and green deal,67.0
0,2023-03-02,"('39912257528-48',)","long term competitivness, ttc",industry competitiveness and the single market,66.0
0,2022-09-21,"('78787381113-69', '4722660838-23')",energy market liquidity measures,bnp paribas views on potential price caps and liquidity measures in the context of the energy crisis,66.0
0,2023-10-25,"('64879142323-90',)","cefic presents their latest priorities about reach, ""eu chemicals act"" and future events",presenting their position on reach and eu chemicals act,65.0
0,2021-04-20,"('271912611231-56',)","basel iii, covid response, ccps","open strategic autonomy, covid-19 response, basel iii, ccps",65.0
0,2021-06-17,"('079859143048-81',)",introduction of their company and readout of their discussions with dg fisma and esma finra and their planning in relation to the consolidated tape provider.,introductory call,65.0
0,2024-11-13,"('02021363105-42',)","exchange on priorities, including global gateway and ongoing global developments.",courtesy meeting + discussion on ongoing global developments,64.0
0,2024-10-30,"('0330934426-12',)",exchange of views on digital competitiveness.,digital topics,64.0
0,2022-11-09,"('48325781850-28',)",pharma strategy,exchange of views on the pharma reform,64.0
1,2022-10-12,"('389356530261-76',)","digital finance
payments",payments services,64.0
0,2023-03-22,"('0757172464-29',)",exchange of views on the upcoming pharmaceutical reform,revision of the pharmaceutical legislation,64.0
3,2021-01-26,"('36529354479-57',)",the impact of the crisis on the cultural sector,meeting on the impact of covid-19 on the creative and cultural sector.,64.0
1,2024-06-04,"('941242711525-27',)",global gateway,"global trade policy, eu green deal",64.0
0,2020-01-20,"('03181945560-59',)",opportunities and responsibility of digital technology for green deal,digital policy,64.0
0,2024-07-03,"('3978240953-79',)",business europe energy study,study on the european energy market and competitiveness,64.0
2,2020-01-22,"('52431421-12',)",external digital connectivity,digital agenda,64.0
0,2020-01-24,"('612547127497-45',)",press freedom and journalism in europe,media freedom and media pluralism,64.0
0,2024-06-11,"('287872416724-91',)",telecom policy,courtesy meeting on the the current matters related to policies in the telecommunications domain.,64.0
4,2024-01-24,"('39966101835-69',)",2040 climate target,2040 target,64.0
0,2024-03-13,"('72899131664-09',)",gaza crisis,humanitarian crises in the mena region,64.0
4,2020-02-19,"('353231132587-96',)",meeting with ceo abn ambro,courtesy meeting with ceo,64.0
0,2022-10-25,"('65744846168-89',)","to exchange on leveraging solutions to ensure food security, while maintaining sustainable growth and achieving the green deal objectives",food security and sanctions,63.0
0,2020-02-12,"('234577416588-90',)","fonterra's business in both new zealand and europe, global dairy markets",business discussion,63.0
0,2020-06-05,"('67128251296-84',)",organic agriculture,new organic regulation and upcoming european action plan,63.0
0,2021-03-23,"('268958411031-65',)",clean energy transition debate,opening address at clean energy summit 'how to couple finance and sustainability.,63.0
5,2022-03-29,"('165202837974-32',)",data policy and dsa,"presentation of their activities in europe, data protection and consumer protection.",63.0
0,2021-10-28,"('13255254129-80',)",green deal/ff55/cop26,"green deal, fit for 55",62.0
0,2023-03-02,"('2732167674-76',)",aviation,company's operation in japan,62.0
3,2023-02-21,"('974875639237-65',)",exchange of views on the current challenges for europe's clean tech sector and the ira,"energy sector, wind energy",62.0
0,2022-01-27,"('656547445325-45',)",meeting with euroregion pyrenees mediterranean egtc delegation to discuss possible cooperation.,presentation des priorites de l'euroregion pyrenees-mediterranee,62.0
5,2021-12-03,"('547949121038-83',)",healthcare benefits of cancer test,the public health benefits and competition issues arising out of the merger between illumina and grail,62.0
0,2020-03-03,"('39705603497-38',)","new digital and data strategies, ai white paper, industry strategy","industrial strategy, digital issues",62.0
1,2023-10-10,"('704370938610-77',)",digital payments,presentation of the work and the challenges on payments.,62.0
0,2020-02-20,"('17909506129-41',)",the role of gas in the green deal,renewables and power total on green deal,62.0
0,2022-03-22,"('917204122840-28',)",meeting with ceo,"meeting mahle/zf/bosch to discuss taxonomy, access to in vehicle data and euro vii developments",62.0
1,2020-02-04,"('7749519702-29',)",social agenda,"eu trade agenda, future relationship with the uk, eu ftas, us, china",62.0
0,2024-03-18,"('52431421-12',)",celebration of telefonica's 100 years anniversary,100 years anniversary- europe in transformation,62.0
0,2020-02-04,"('7749519702-29',)",social agenda,"european pillar of social rights, social dialogue, european unemployment benefit reinsurance scheme, platform workers, european semester and sustainable development goals",62.0
0,2024-01-23,"('9171899949-17',)",economic outlook,"global macroeconomic environment and future growth outlook, the potential impact of the new fiscal rules, financial stability and other areas of common interest
meeting with alienor margerit",62.0
0,2024-01-30,"('05032108616-26',)",energy transition trends forecasting and investment climate,energy market,62.0
0,2019-12-11,"('7721359944-96',)",conference on digital europe,horizon europe - digital industry and digital education,61.0
0,2024-01-30,"('55820581197-35',)",smes and climate action,exchange of views on an eu climate policy fit for smes,61.0
0,2023-10-05,"('68861821910-84',)",electricity market,"cabinet members discussed with finnish energy various technical aspects of energy market developments, regulatory measures, and future investments in the renewable energy sector",61.0
0,2023-01-11,"('55820581197-35',)",meeting on the european year of skills,european year of skills (with cabinet commissioner schmit),61.0
0,2022-09-27,"('38235121060-73',)",us climate policy and carbon pricing,physical meeting - exchange on us and eu strategies for carbon pricing,61.0
2,2023-11-16,"('977980112556-82',)",exchange on investeu and role of national promotional banks,"invest eu, financial regulation",61.0
0,2022-11-09,"('162711719247-82',)","antisemitism, disinformation",eu strategy on combatting anti-semitism and fostering jewish life,61.0
0,2020-04-24,"('632741433403-20',)",the covid-19 pandemic,future of eit health and covid-19,61.0
0,2020-07-22,"('3959733732-78',)","farm to fork strategy, veterinary medicines, animal welfare","topics discussed: 

farm to fork strategy
one health - improving animal health, prevention of diseases and amr
veterinary medicines legislation and amr
animal welfare",61.0
0,2020-01-22,"('52431421-12',)",european digital policy,external digital connectivity,61.0
0,2021-11-24,"('58290033126-06',)",sustainable finance taxonomy,sustainable corporate governance,61.0
0,2022-11-08,"('33858106461-10',)","economic situation, crisis management, basel iii",sanctions and basel iii,61.0
0,2023-12-13,"('78787381113-69',)","exchange of views on eu banking and finance policy, including the basel iii legislation.",basel iii standards' implementation,60.0
0,2022-11-10,"('7459401905-60',)",chips,competition policies,60.0
13,2021-01-26,"('36529354479-57',)",rebuilding europe: the cultural and creative economy before and after covid-19,"discussion on effects of covid19 crisis to the cultural and creative sectors, eu's support for culture and creative sectors, including recovery and resilience facility",60.0
14,2021-01-26,"('36529354479-57',)",meeting on the impact of covid-19 on the creative and cultural sector.,"discussion on effects of covid19 crisis to the cultural and creative sectors, eu's support for culture and creative sectors, including recovery and resilience facility",60.0
1,2020-02-06,"('0764199368-97',)","capital requirements, fintech","banking union, capital markets union",60.0
0,2020-07-14,"('947859738938-75',)",meeting on skills.,skills agenda,60.0
0,2020-01-23,"('977881918839-35',)",data protection,general presentation of the activities of the group,60.0
0,2020-02-19,"('502376418704-34',)",eu-us relations,general discussion on relation ue/etats-unis,60.0
0,2022-10-25,"('40386322300-77',)",competition policies,"general product safety regulation
empowering consumers for the green transition
sustainable consumption of goods, promoting repair and reuse
commitment of ebay the product safety pledge and possible participation to sustainable consumption pledge",60.0
0,2022-11-10,"('248751637333-26',)",eu finance,discuss european competitiveness in advance of the swedish eu presidency,60.0
7,2021-01-26,"('36529354479-57',)",exchange on covid-19 impact on culture and creative sector,meeting on the impact of covid-19 on the creative and cultural sector.,60.0
0,2024-05-23,"('40538475090-82',)",presentation on focus group findings on rural attitudes to european forests,forest policy,60.0
0,2024-01-11,"('0714344663-32',)",discussing the current situation and prospects of the aviation industry in europe.,decarbonization of aviation,59.0
0,2023-02-17,"('557467520774-65',)",lunch to explain kkr's work on impact investments in developing economies,sustainable investment in the eu,59.0
0,2021-09-29,"('941662444402-60',)","hydrogen, decarbonised industrial transport.",hydrogen strategy,59.0
1,2023-02-21,"('974875639237-65',)",energy transition,"energy sector, wind energy",59.0
0,2024-06-20,"('75617941310-89',)",ai technology and their implications for the health sector,digitalisation of healthcare.,59.0
0,2020-09-10,"('1095068839-59',)","diversity, inclusion and gender equality (including closing the pay gap) in companies",best practices - gender equality,59.0
1,2020-09-30,"('976985829492-08',)",to discuss digital services act.,responsibilities of digital service providers,59.0
0,2023-02-06,"('7721359944-96',)",european year of skills,european work councils,59.0
2,2023-03-02,"('39912257528-48',)",industry competitiveness and the single market,european competitiveness strategy and inflation reduction act,59.0
1,2020-02-18,"('803034333635-05',)",trade issues,"new commissions political priorities, including the green deal, digitalisation and industrial strategy, eu - us trade negotiations, impact of brexit on economy",58.0
2,2020-02-18,"('803034333635-05',)",trade issues,eu-us trade and investment relations,58.0
0,2020-02-18,"('803034333635-05',)",trade issues,relations euandus on trade matters,58.0
0,2023-05-25,"('3978240953-79',)","corporate sustainability reporting, corporate due diligence, sanctions",corporate sustainability due diligence directive,58.0
0,2021-03-01,"('873067039520-87',)",deforestation and forest degradation,deforestation initiative and the impact on the palm oil countries producers,58.0
0,2020-02-05,"('478836130634-43',)",trade issues,rail and sustainable mobility,58.0
2,2024-10-01,"('03181945560-59',)",ai / digital,digital policy issues and data protection,58.0
0,2024-10-01,"('03181945560-59',)",ai and disinformation,ai / digital,58.0
1,2020-04-01,"('950921712127-74',)","covid19 impact on investments sector, also with regional angle",covid 19 economic impact,58.0
0,2023-04-21,"('274351946046-84',)",on gregy project,energy market,58.0
0,2023-06-15,"('378142414263-73',)","the role of carbon capture, utilisation, and storage as it relates to supporting industrial decarbonisation goals and europe's climate ambitious",annual europe forum,58.0
0,2021-05-18,"('3978240953-79',)",taxonomy delegated act (art 8),taxonomy article 8 disclosures delegated act,58.0
0,2020-02-12,"('9803788883-16',)",the role of the poultry sector in the green deal,the role the european poultry meat production can play in the green deal and the sustainable the role the european poultry meat production can play in the green deal and the sustainable farm to fork strategy,58.0
0,2022-03-16,"('230456715590-19',)","meeting with mr massimiliano giansanti, president of confagricoltura: exchange of views on the impact of the invasion of ukraine on the european agricultural sector and on other sector related topics",exchange of views on the cap implementation and current market situations,58.0
0,2022-09-16,"('6256831207-27',)",pv supply chain - winter outlook for electricity and gas markets,"emergency interventions in the electricity and gas markets, solar power supply chains.",58.0
1,2020-02-12,"('9803788883-16',)",the role of the poultry sector in the green deal,the role the european poultry meat production can play in the green deal and the sustainable farm to fork strategy,58.0
0,2023-10-05,"('43245696854-79',)",media policy,european media freedom act,58.0
2,2023-04-20,"('499059113403-37',)","retail investment, investor protection and sustainable finance","sustainable finance, retail investment strategy",58.0
0,2022-12-07,"('022201744710-44',)",sustainable tourism,"1) wttc's role in the travel and tourism sector
2) wttc's global summit",58.0
1,2022-10-11,"('52431421-12',)",digital issues,"european digital path 2030, connectivity  industry, telco edge cloud, open ran.",57.0
0,2023-02-14,"('494613715191-85',)",digital skills,"cisco netacademy lead in europe armand leblois and deputy representative, chris gow on skills",57.0
0,2021-01-26,"('36529354479-57',)",the impact of the crisis on the cultural sector,exchange on covid-19 impact on culture and creative sector,57.0
1,2023-06-26,"('976985829492-08',)","dsa, ai","digital service pact, code of practice on disinformation, artificial intelligence",57.0
1,2020-06-22,"('872244238453-63',)",virtual meeting with european society of intensive care medicine to discuss medicines shortages during the pandemic.,vc meeting on training of clinicians in intensive care,57.0
0,2021-07-19,"('312446938719-11',)",keynote speech at fuelling europe's sustainable future event,keynote speech on e-fuels to deliver the european green deal,57.0
0,2023-11-30,"('28666427835-74',)",data protection,on ai,57.0
4,2023-11-16,"('977980112556-82',)",meeting with with the european long term investments association (elti) to discuss implementation of financial instruments.,"invest eu, financial regulation",57.0
0,2022-07-12,"('46302264606-44',)","taxonomy, green deal",sustainable finance - taxonomy,57.0
1,2019-12-11,"('7721359944-96',)",conference on digital europe,presentation of ibm's point of view on digital trade and the priorities of the new commission,57.0
1,2020-01-22,"('52431421-12',)",european digital policy,digital agenda,57.0
0,2023-11-06,"('565032821273-72',)","hydrogen and decarbonised gas markets, investments and infrastructure",gas and hydrogen infrastructure planning,56.0
5,2020-02-18,"('803034333635-05',)","new commissions political priorities, including the green deal, digitalisation and industrial strategy, eu - us trade negotiations, impact of brexit on economy",eu-us trade and investment relations,56.0
0,2020-09-23,"('38526121292-88',)",meeting on the upcoming pharmaceutical strategy.,eu pharmaceutical strategy and the general approach to ip in pharmaceuticals,56.0
2,2023-02-10,"('52431421-12',)","echange sur la situation du secteur des telecommunications en europe, ses defis et ses opportunites",future of telecoms sector,56.0
1,2023-07-12,"('028145011837-13',)",research and digitalisation,to present inrae and its priorities for the next strategic plan,56.0
2,2023-01-31,"('90142503473-81',)",update on issues relating to the implementation of the government of india's telecom reform package.,telecom sector and networks,56.0
2,2022-06-14,"('141376015883-52',)",sustainable consumption and consumer protection law',digital trade and sustainable consumption,56.0
0,2020-11-17,"('34478709670-34',)",preparation of ga concord,general assembly of concord,56.0
1,2023-01-13,"('592343015058-67',)",eu-china relations,meeting with the president of the eu chamber of commerce in china and their delegation.,56.0
2,2020-02-12,"('60499753268-17',)",priorities of the commission related to tourism,discuss important topics in tourism,56.0
0,2021-04-20,"('76903725494-68',)",transport,"sustainable and smart mobility policy orientation with a focus on road safety action plan,  its and ten-t revision proposals.",56.0
8,2023-01-18,"('64869491516-70',)","response to us ira, green transition of industry","supporting work around a european response to the us ira, the need for a new investment wave in climate-friendly technologies and the upcoming electricity market design reform.",56.0
2,2022-03-30,"('1771817758-48',)",data and chips act,meeting with bdi president and bdi director general,56.0
1,2023-01-18,"('64869491516-70',)",about europe's role in in the transition to a net-zero emissions economy,"response to us ira, green transition of industry",56.0
0,2021-11-24,"('5265780509-97',)",competitiveness of europe in the global economy + transatlantic relations,courtesy meeting and an exchange of views on transatlantic relations and cooperation on key initiatives in the health area.,56.0
7,2023-01-18,"('64869491516-70',)","response to us ira, green transition of industry","supporting work around a european response to the us ira, the need for a new investment wave in climate-friendly technologies and the upcoming electricity market design reform.",56.0
0,2023-01-09,"('592343015058-67',)","covid wave impact 
eu china trade relations","the meeting was with mr joerg wuttke, the president of euccc and his team. they exchange views on china's economic and political situation as well as prospects for eu-china relations.",55.0
0,2022-12-07,"('9171899949-17',)","green deal, sustainable finance","european green deal, the energy situation and other financial-related aspects of the transition.",55.0
0,2022-02-22,"('96816064173-47',)","aifmd, sustainable finance, eu funds industry competitiveness.",competitiveness of the eu asset management industry. how to ensure that regulation fosters financial stability and protects consumers while at the same time not hampering eu industry competitiveness. need of a global perspective.,55.0
4,2023-02-21,"('974875639237-65',)",exchange of views on the current challenges for europe's clean tech sector and the ira,support for the clean tech industry in europe.,55.0
0,2021-06-30,"('7193977808-18',)",meeting ceo,preparation of fit for 55,55.0
0,2024-06-27,"('496227428572-68',)",hu sovereignty  law,rule of law,55.0
0,2023-03-22,"('750447615329-96',)",afghanistan,humanitarian situation and response in syria,55.0
0,2024-02-13,"('138083013988-72',)",introduction to the refractory industry and presentation of their strategy for decarbonisation of their refractory production.,intro visit,55.0
1,2024-06-27,"('496227428572-68',)",hu sovereignty  law,rule of law,55.0
0,2023-06-27,"('81970148701-15',)",introduction to heidelberg materials and nzia,discuss their views on how to accelerate the transformation of the eu construction material industry.,55.0
0,2024-03-08,"('366117914426-10',)",digital technologies and climate action,digital policies / priorities,55.0
2,2020-06-12,"('12493392840-79',)",european green deal and the green recovery,"videoconference on the effect of the crisis on the most vulnerables, the important role of cities in the crisis and the recovery.",55.0
0,2022-04-26,"('582824527068-76',)",data economy,health data space,55.0
0,2022-11-15,"('547225616323-13',)",energy shortage,"presentation of the company, ira and sustainable energy, ipcei.",55.0
0,2022-04-29,"('807912421050-91',)","exchange on the aviation proposals of the ff55 package. in particular, saf double-zero rating under the ets / saf allowances, non-co2 emissions and red vs corsia saf compliance",sustainable aviation fuels,54.0
0,2023-02-09,"('27762251795-15',)","eu sovereignty fund, inflation reduction act, temporary crisis framework","eu competitiveness, us inflation reduction act, eu green deal industrial plan, free trade agreements, recovery and resilience facility",54.0
0,2020-01-16,"('64869491516-70',)","introduction of a study on just transition in coal phase-out in bg, ro, el",coal phase out study discussion,54.0
1,2020-03-03,"('982823533509-58',)",economic diplomacy and investment regarding sustainable health systems in african countries.  forthcoming africa strategy and creation of jobs and growth in africa.,digital transformation of health and care,54.0
0,2024-02-19,"('456211534646-58',)","*	steel overcapacity 
*	eu's steel safeguard extension 
*	gsa - decarbonisation of steel",the transformation of the steel industry,54.0
0,2022-07-12,"('006687715492-92',)",discussed the broad thematic priorities for the cop and in particular climate adaptation and food security,sustainable food systems,54.0
0,2023-11-25,"('708719831695-59',)",commissioner helena dalli makes a keynote speech for cermi on the rights of women with disabilities.,"commissioner helena dalli held a meeting with cermi president, ms. pelaez to discuss: european disability card, disabled women's rights.",54.0
0,2022-10-06,"('0649790813-47',)",acea autumn reception,decarbonisation of the automotive sector,54.0
